number,collatz_conjecture
1,[1]
2,"[2, 1]"
3,"[3, 10, 5, 16, 8, 4, 2, 1]"
4,"[4, 2, 1]"
5,"[5, 16, 8, 4, 2, 1]"
6,"[6, 3, 10, 5, 16, 8, 4, 2, 1]"
7,"[7, 22, 11, 34, 17, 52, 26, 13, 40, 20, 10, 5, 16, 8, 4, 2, 1]"
8,"[8, 4, 2, 1]"
9,"[9, 28, 14, 7, 22, 11, 34, 17, 52, 26, 13, 40, 20, 10, 5, 16, 8, 4, 2, 1]"
10,"[10, 5, 16, 8, 4, 2, 1]"
11,"[11, 34, 17, 52, 26, 13, 40, 20, 10, 5, 16, 8, 4, 2, 1]"
12,"[12, 6, 3, 10, 5, 16, 8, 4, 2, 1]"
13,"[13, 40, 20, 10, 5, 16, 8, 4, 2, 1]"
14,"[14, 7, 22, 11, 34, 17, 52, 26, 13, 40, 20, 10, 5, 16, 8, 4, 2, 1]"
15,"[15, 46, 23, 70, 35, 106, 53, 160, 80, 40, 20, 10, 5, 16, 8, 4, 2, 1]"
16,"[16, 8, 4, 2, 1]"
17,"[17, 52, 26, 13, 40, 20, 10, 5, 16, 8, 4, 2, 1]"
18,"[18, 9, 28, 14, 7, 22, 11, 34, 17, 52, 26, 13, 40, 20, 10, 5, 16, 8, 4, 2, 1]"
19,"[19, 58, 29, 88, 44, 22, 11, 34, 17, 52, 26, 13, 40, 20, 10, 5, 16, 8, 4, 2, 1]"
20,"[20, 10, 5, 16, 8, 4, 2, 1]"
